chr	start	end	strand	gene
1	1103258	1103590	+	csgC
1	1103711	1104022	+	ymdA
1	1104117	1104650	+	ymdB
1	1104592	1106073	+	clsC
1	1106081	1107238	-	opgC
1	1107632	1109167	+	opgG
1	1109160	1111703	+	opgH
1	1111876	1112103	+	yceK
1	1112104	1112478	-	msyB
1	1112561	1113787	-	mdtG
1	1113959	1114879	-	lpxL
1	1115104	1116156	+	yceA
1	1116198	1116773	-	yceI
1	1116777	1117343	-	yceJ
1	1117604	1117744	-	yceO
1	1117765	1118883	-	solA
1	1118998	1119252	-	bssS
1	1119539	1119784	-	dinI
1	1119858	1120904	-	pyrC
1	1121010	1121570	-	yceB
1	1121704	1122351	-	grxB
1	1122415	1123623	-	mdtH
1	1123859	1124443	+	rimJ
1	1124454	1125101	+	yceH
1	1125103	1126026	+	yceM
1	1126136	1127671	+	murJ
1	1127711	1128127	-	flgN
1	1128132	1128425	-	flgM
1	1128501	1129160	-	flgA
1	1129315	1129731	+	flgB
1	1129735	1130139	+	flgC
1	1130151	1130846	+	flgD
1	1130871	1132079	+	flgE
1	1132099	1132854	+	flgF
1	1133026	1133808	+	flgG
1	1133861	1134559	+	flgH
1	1134571	1135668	+	flgI
1	1135668	1136609	+	flgJ
1	1136675	1138318	+	flgK
1	1138330	1139283	+	flgL
1	1139479	1142664	-	rne
1	1142799	1143119	+	yceQ
1	1143237	1144196	+	rluC
1	1144308	1144931	-	yceF
1	1145091	1145612	+	yceD
1	1145664	1145837	+	rpmF
1	1145918	1146988	+	plsX
1	1147056	1148009	+	fabH
1	1148025	1148954	+	fabD
1	1148967	1149701	+	fabG
1	1149912	1150148	+	acpP
1	1150236	1151477	+	fabF
1	1151597	1152406	+	pabC
1	1152409	1153431	+	yceG
1	1153421	1154062	+	tmk
1	1154059	1155063	+	holB
1	1155074	1155871	+	ycfH
1	1156166	1157599	+	ptsG
1	1157659	1159848	-	fhuE
1	1160182	1160541	+	hinT
1	1160544	1160921	+	ycfL
1	1160935	1161576	+	lpoB
1	1161557	1162381	+	thiK
1	1162392	1163417	+	nagZ
1	1163440	1163982	+	ycfP
1	1164382	1165686	+	ndh
1	1165896	1166435	+	ycfJ
1	1166497	1167192	-	ycfQ
1	1167370	1167627	+	bhsA
1	1167709	1168671	-	ldtC
1	1168815	1172309	-	mfd
1	1172389	1173462	-	ycfT
1	1173724	1174923	+	lolC
1	1174916	1175617	+	lolD
1	1175617	1176861	+	lolE
1	1176890	1177801	+	nagK
1	1177817	1178656	+	cobB
1	1178776	1179564	-	ycfZ
1	1179561	1180022	-	ymfA
1	1180080	1181126	-	potD
1	1181123	1181917	-	potC
1	1181914	1182771	-	potB
1	1182755	1183891	-	potA
1	1184141	1185367	+	pepT
1	1185416	1186537	-	roxA
1	1186613	1188073	-	phoQ
1	1188073	1188744	-	phoP
1	1188913	1190283	-	purB
1	1190287	1190928	-	hflD
1	1190964	1192070	-	mnmA
1	1192124	1192585	-	nudJ
1	1192595	1193248	-	rluE
1	1193420	1194670	+	icd
1	1194773	1195096	-	iraM
1	1195796	1196200	-	ycgX
1	1196421	1197152	-	bluR
1	1197357	1198568	-	bluF
1	1198882	1199118	+	ycgZ
1	1199161	1199433	+	ymgA
1	1199462	1199728	+	ariR
1	1199841	1200089	+	ymgC
1	1200421	1201944	+	ycgG
1	1202076	1202294	+	ymgF
1	1205398	1205727	-	ymgD
1	1205737	1206081	-	ymgG
1	1206083	1206256	-	ymgI
1	1206357	1206542	+	ymgJ
1	1207372	1207638	-	minE
1	1207642	1208454	-	minD
1	1208478	1209173	-	minC
1	1209693	1210061	+	ycgJ
1	1210164	1210565	-	pliG
1	1210807	1211100	+	ycgL
1	1211172	1211831	+	ycgM
1	1211908	1212369	+	ycgN
1	1212576	1213487	-	hlyE
1	1213927	1214346	+	umuD
1	1214346	1215614	+	umuC
1	1215660	1216190	-	dsbB
1	1216336	1217877	-	nhaB
1	1218098	1218817	+	fadR
1	1218869	1220401	-	ycgB
1	1220731	1222029	+	dadA
1	1222039	1223109	+	dadX
1	1223495	1225231	-	cvrA
1	1225326	1226240	-	ldcA
1	1226340	1226951	+	emtA
1	1226953	1227687	-	ycgR
1	1227888	1228142	+	ymgE
1	1228320	1228760	+	ycgY
1	1228839	1230536	-	treA
1	1230856	1232274	-	dhaM
1	1232285	1232917	-	dhaL
1	1232928	1233998	-	dhaK
1	1234226	1236145	+	dhaR
1	1236245	1238875	-	ycgV
1	1239494	1239673	+	U069_c3711
1	1239918	1241009	-	ychF
1	1241126	1241710	-	pth
1	1241988	1242266	+	ychH
1	1242321	1244000	-	dauA
1	1244125	1245138	-	prs
1	1245223	1246074	-	ispE
1	1246074	1246697	-	lolB
1	1246911	1248167	+	hemA
1	1248209	1249291	+	prfA
1	1249291	1250124	+	prmC
1	1250121	1250513	+	ychQ
1	1250517	1251326	+	ychA
1	1251362	1252216	+	kdsA
1	1252365	1252472	-	ldrA
1	1252876	1253976	-	chaA
1	1254246	1254476	+	chaB
1	1254294	1254539	-	ychN
1	1254613	1255329	+	chaC
1	1255911	1257305	+	ychO
1	1257306	1257956	-	narL
1	1257949	1259745	-	narX
1	1260084	1261475	+	narK
1	1261991	1265734	+	narG
1	1265731	1267269	+	narJ
1	1267973	1268536	-	tpr
1	1267976	1268653	+	narI
1	1269909	1270751	-	purU
1	1271333	1272277	+	rssA
1	1272369	1273382	+	galU
1	1274636	1275049	-	hns
1	1275654	1276271	+	tdk
1	1277573	1280248	-	adhE
1	1280725	1281372	+	ychE
1	1281399	1281554	+	U069_c3717
1	1282065	1283741	+	oppA
1	1283827	1284747	+	oppB
1	1284762	1285670	+	oppC
1	1285682	1286695	+	oppD
1	1286692	1287696	+	oppF
1	1287749	1288078	-	yciU
1	1288113	1289573	-	clsA
1	1289716	1289889	+	yciY
1	1289944	1291197	-	kch
1	1291497	1291793	-	yciI
1	1292002	1292736	+	tonB
1	1292776	1293174	-	yciA
1	1293279	1293818	-	yciB
1	1293848	1294591	-	yciC
1	1294948	1295586	+	ompW
1	1295646	1296152	-	yciE
1	1296198	1296698	-	yciF
1	1296784	1296963	-	yciG
1	1297344	1298150	-	trpA
1	1298150	1299343	-	trpB
1	1299355	1300716	-	trpC
1	1300717	1302312	-	trpD
1	1302312	1303874	-	trpE
1	1303966	1304010	-	trpL
1	1304148	1305029	+	yciV
1	1305026	1305646	+	yciO
1	1305674	1307569	+	yciQ
1	1307780	1308655	+	rluB
1	1308695	1309285	-	btuR
1	1309282	1310040	-	yciK
1	1310260	1311309	+	sohB
1	1311345	1311596	-	yciN
1	1311976	1314573	+	topA
1	1314783	1315757	+	cysB
1	1316052	1316216	+	ymiA
1	1316219	1316386	+	yciX
1	1316500	1316595	+	U069_c3725
1	1316759	1319434	+	acnA
1	1319498	1320088	-	ribA
1	1320258	1321022	+	pgpB
1	1321171	1321479	+	yciS
1	1321486	1322655	+	yciM
1	1322789	1323586	+	pyrF
1	1323586	1323912	+	yciH
1	1324038	1324256	-	osmB
1	1324525	1325274	-	yciT
1	1325364	1325537	-	yciZ
1	1325685	1327670	-	gmr
1	1327724	1327828	+	ymiB
1	1327906	1329840	-	rnb
1	1329908	1331035	-	yciW
1	1331179	1331967	-	fabI
1	1332335	1332688	-	ycjD
1	1332756	1333562	-	sapF
1	1333564	1334556	-	sapD
1	1334556	1335446	-	sapC
1	1335433	1336398	-	sapB
1	1336395	1338038	-	sapA
1	1338351	1338596	-	ymjA
1	1338730	1340115	-	puuP
1	1340418	1341836	-	puuA
1	1342048	1342812	+	puuD
1	1342839	1343396	+	puuR
1	1343671	1345158	+	puuC
1	1345160	1346440	+	puuB
1	1346478	1347743	+	puuE
1	1347863	1348840	-	pspF
1	1349007	1349675	+	pspA
1	1349729	1349953	+	pspB
1	1349953	1350312	+	pspC
1	1350321	1350542	+	pspD
1	1350617	1350931	+	pspE
1	1351144	1352823	+	ycjM
1	1352837	1354129	+	ycjN
1	1354150	1355031	+	ycjO
1	1355018	1355860	+	ycjP
1	1355891	1356943	+	ycjQ
1	1356962	1357750	+	ycjR
1	1357760	1358815	+	ycjS
1	1358812	1361079	+	ycjT
1	1361076	1361735	+	ycjU
1	1362875	1363780	+	ompG
1	1363891	1364889	-	ycjW
1	1365045	1366442	+	ycjX
1	1366439	1367500	+	ycjF
1	1367648	1369189	+	tyrR
1	1369233	1369739	-	tpx
1	1369858	1370823	+	ycjG
1	1370798	1371526	-	mpaA
1	1371608	1371790	-	ymjC
1	1371861	1372781	-	ycjY
1	1372919	1373818	+	pgrR
1	1374155	1375768	+	mppA
1	1375819	1376850	-	ynaI
1	1377004	1378020	+	insH1
1	1378293	1378550	+	ynaJ
1	1378600	1379550	-	uspE
1	1379702	1380454	-	fnr
1	1380649	1381164	-	ogt
1	1381175	1382701	-	abgT
1	1382738	1384183	-	abgB
1	1384183	1385493	-	abgA
1	1385669	1386577	+	abgR
1	1386907	1387470	+	smrA
1	1387491	1388723	-	ydaM
1	1388978	1389961	+	ydaN
1	1390439	1391812	+	dbpA
1	1391941	1392876	-	ttcA
1	1392928	1394163	-	intR
1	1394459	1394668	-	rcbA
1	1394661	1394855	-	ralR
1	1394912	1395721	-	recT
1	1395714	1398314	-	recE
1	1398416	1398691	-	racC
1	1398936	1399157	-	kilR
1	1399476	1400087	+	U069_c3735
1	1400084	1400239	-	ydaF
1	1400250	1400384	-	ydaG
1	1400693	1401169	-	racR
1	1401293	1401589	+	ydaS
1	1401612	1402034	+	ydaT
1	1402911	1403657	+	ydaV
1	1404710	1406167	+	trkG
1	1407382	1408410	+	ynaA
1	1409977	1413339	+	stfR
1	1413339	1413914	+	tfaR
1	1414012	1414602	-	pinR
1	1414919	1415152	-	ynaE
1	1416113	1416547	-	uspF
1	1416688	1417821	-	ompN
1	1418188	1421712	-	pfo
1	1421986	1422252	+	ydbJ
1	1422249	1422671	-	hslJ
1	1422782	1423771	-	ldhA
1	1423979	1426618	+	ydbH
1	1426615	1426800	+	ynbE
1	1426808	1427134	+	ydbL
1	1427306	1428211	-	feaR
1	1428447	1429946	+	feaB
1	1430004	1432277	-	tynA
1	1432525	1434570	-	paaZ
1	1434855	1435784	+	paaA
1	1435796	1436083	+	paaB
1	1436092	1436838	+	paaC
1	1436853	1437350	+	paaD
1	1437358	1438428	+	paaE
1	1438425	1439192	+	paaF
1	1439192	1439980	+	paaG
1	1439982	1441409	+	paaH
1	1441399	1441821	+	paaI
1	1441821	1443026	+	paaJ
1	1443053	1444366	+	paaK
1	1444467	1445417	+	paaX
1	1445399	1445989	+	paaY
1	1446093	1446158	-	ynbG
1	1455149	1456009	+	ydbC
1	1456072	1458378	+	ydbD
1	1458549	1459154	+	ynbA
1	1459154	1460050	+	ynbB
1	1460066	1461823	+	ynbC
1	1461813	1463129	+	ynbD
1	1463183	1463788	-	azoR
1	1463989	1467891	+	hrpA
1	1468163	1468963	+	ydcF
1	1469160	1470599	+	aldA
1	1471525	1471641	-	U069_c3744
1	1471830	1472360	+	cybB
1	1472605	1472778	+	ydcA
1	1472850	1472999	-	hokB
1	1472890	1473057	-	mokB
1	1473398	1475038	+	trg
1	1475076	1475999	-	ydcI
1	1476216	1477559	+	ydcJ
1	1477784	1479439	+	opgD
1	1479579	1479803	+	ydcH
1	1479866	1480405	+	rimL
1	1480397	1481377	-	ydcK
1	1481501	1482493	+	tehA
1	1482490	1483083	+	tehB
1	1483385	1484053	+	ydcL
1	1484645	1485793	+	insQ
1	1485833	1487008	-	ydcO
1	1487100	1487636	+	ydcN
1	1487709	1489670	+	ydcP
1	1489762	1489992	-	yncJ
1	1490214	1490390	+	hicA
1	1490415	1490852	+	hicB
1	1490931	1492337	+	ydcR
1	1492582	1493727	+	ydcS
1	1493745	1494758	+	ydcT
1	1494759	1495700	+	ydcU
1	1495690	1496484	+	ydcV
1	1496506	1497930	+	patD
1	1498027	1498122	-	yncL
1	1498317	1498490	+	ydcX
1	1498576	1498809	+	ydcY
1	1498810	1499259	-	ydcZ
1	1499256	1499774	-	mnaT
1	1499955	1500992	+	curA
1	1501190	1501855	+	mcbR
1	1501891	1503993	-	yncD
1	1504235	1505296	+	yncE
1	1505409	1506908	-	ansP
1	1507175	1507792	+	yncG
1	1507868	1508080	+	yncH
1	1510850	1511332	+	ydcD
1	1512744	1513880	+	ydcC
1	1513980	1514213	+	pptA
1	1514210	1514779	-	yddH
1	1514952	1515797	+	nhoA
1	1515893	1516786	-	yddE
1	1516865	1517545	-	narV
1	1517542	1518237	-	narW
1	1518237	1519781	-	narY
1	1519778	1523518	-	narZ
1	1523600	1524988	-	narU
1	1525312	1525647	-	yddJ
1	1525686	1526606	-	yddK
1	1526666	1526956	-	U069_c3755
1	1527216	1528097	-	yddG
1	1528329	1528916	+	U069_c3756
1	1531389	1532273	+	fdnH
1	1532266	1532919	+	fdnI
1	1533326	1533610	-	yddM
1	1533756	1534766	-	adhP
1	1534900	1536597	-	maeA
1	1536754	1536891	-	sra
1	1536993	1537208	-	bdm
1	1537553	1537984	+	osmC
1	1538040	1538966	-	ddpF
1	1538959	1539945	-	ddpD
1	1539942	1540838	-	ddpC
1	1540835	1541857	-	ddpB
1	1541859	1543409	-	ddpA
1	1543423	1544004	-	ddpX
1	1544262	1546661	-	dosP
1	1546686	1548068	-	dosC
1	1548432	1549751	-	yddW
1	1549882	1551417	-	gadC
1	1551573	1552973	-	gadB
1	1553335	1556130	-	pqqL
1	1556175	1558547	-	yddB
1	1558585	1560270	-	yddA
1	1560561	1561718	-	ydeM
1	1561770	1563452	-	ydeN
1	1563907	1564668	-	ydeO
1	1564743	1564940	-	safA
1	1565188	1567467	-	ydeP
1	1567801	1568715	-	ydeQ
1	1568774	1569277	-	ydeR
1	1569290	1569820	-	ydeS
1	1571835	1573214	-	hipA
1	1573157	1573423	-	hipB
1	1575090	1579067	-	ydeK
1	1579598	1581190	-	lsrK
1	1581269	1582222	-	lsrR
1	1582456	1584006	+	lsrA
1	1584000	1585028	+	lsrC
1	1585028	1586020	+	lsrD
1	1586032	1587054	+	lsrB
1	1587081	1587956	+	lsrF
1	1587980	1588270	+	lsrG
1	1588327	1589085	+	tam
1	1589089	1590054	-	yneE
1	1590210	1591661	-	uxaB
1	1591888	1592835	-	yneF
1	1592947	1593306	-	yneG
1	1593306	1594232	-	glsB
1	1594296	1595708	-	sad
1	1595785	1596666	+	yneJ
1	1598009	1599199	+	ydeA
1	1599224	1599889	-	marC
1	1600101	1600535	+	marR
1	1600504	1600938	+	marA
1	1600970	1601188	+	marB
1	1601219	1602139	-	eamA
1	1602313	1603500	+	ydeE
1	1603574	1603627	+	yneM
1	1603941	1604837	-	dgcZ
1	1605086	1605478	-	ydeI
1	1606316	1608427	-	dcp
1	1608498	1609244	+	ydfG
1	1609333	1610019	+	ydfH
1	1610196	1610399	+	ydfZ
1	1610434	1611894	-	ydfI
1	1611983	1613266	-	U069_c3764
1	1614053	1614286	+	ydfK
1	1614603	1615193	+	pinQ
1	1615291	1615866	-	tfaQ
1	1615866	1616828	-	stfQ
1	1617737	1617970	+	ynfO
1	1618028	1618438	+	ydfO
1	1618590	1618763	-	gnsB
1	1618935	1619090	-	ynfN
1	1619436	1619648	-	cspI
1	1620011	1620508	-	rzpQ
1	1620505	1621038	-	rrrQ
1	1621035	1621346	-	ydfR
1	1621351	1621566	-	essQ
1	1622320	1622535	-	cspB
1	1622836	1623048	+	cspF
1	1623470	1624222	-	quuQ
1	1624236	1625285	-	ydfU
1	1625632	1625883	-	rem
1	1626100	1626255	-	hokD
1	1626327	1626614	-	relE
1	1626614	1626853	-	relB
1	1626878	1627183	+	ydfV
1	1627386	1627718	+	flxA
1	1628103	1628330	-	ydfW
1	1628327	1628617	-	ydfX
1	1628601	1628831	-	dicC
1	1628915	1629322	+	dicA
1	1629489	1629644	+	ydfA
1	1629646	1629774	+	ydfB
1	1629804	1630022	+	ydfC
1	1630026	1630190	-	U069_c3776
1	1630590	1630778	+	dicB
1	1630775	1630966	+	ydfD
1	1633877	1634896	-	rspB
1	1634908	1636122	-	rspA
1	1636328	1636654	-	ynfA
1	1636789	1637130	+	ynfB
1	1637165	1637725	+	speG
1	1637728	1638474	-	ynfC
1	1638546	1638851	+	ynfD
1	1639050	1641476	+	ynfE
1	1641537	1643960	+	ynfF
1	1643971	1644588	+	ynfG
1	1644590	1645444	+	ynfH
1	1645487	1646101	+	dmsD
1	1646296	1647552	+	clcB
1	1647505	1648200	-	ynfK
1	1648325	1649545	-	mlc
1	1649680	1650573	-	ynfL
1	1650680	1651933	+	ynfM
1	1652357	1652665	+	asr
1	1652758	1652841	+	ydgU
1	1652941	1653762	+	ydgD
1	1653801	1654130	-	mdtI
1	1654117	1654482	-	mdtJ
1	1654894	1655928	+	tqsA
1	1655953	1657341	-	pntB
1	1657352	1658884	-	pntA
1	1659408	1660352	+	ydgH
1	1660538	1661920	+	ydgI
1	1661957	1662679	+	folM
1	1662676	1663011	-	ydgC
1	1663140	1663859	+	rstA
1	1663863	1665164	+	rstB
1	1665240	1666169	+	tus
1	1666166	1667569	-	fumC
1	1667712	1669358	-	fumA
1	1669557	1670732	+	manA
1	1670833	1672341	+	ydgA
1	1672567	1673832	-	uidC
1	1673871	1675244	-	uidB
1	1675241	1677052	-	uidA
1	1677443	1678033	-	uidR
1	1678254	1679021	-	hdhA
1	1679133	1680161	-	malI
1	1680336	1681928	+	malX
1	1681938	1683110	+	malY
1	1683214	1684215	+	add
1	1684249	1685289	-	ydgJ
1	1685532	1685657	+	blr
1	1685930	1686145	+	cnu
1	1686231	1686671	+	ydgK
1	1686748	1687329	+	rsxA
1	1687329	1687907	+	rsxB
1	1687900	1690122	+	rsxC
1	1690123	1691181	+	rsxD
1	1691185	1691805	+	rsxG
1	1691809	1692504	+	rsxE
1	1692504	1693139	+	nth
1	1693750	1695252	+	dtpA
1	1695358	1695963	+	gstA
1	1696007	1696870	-	pdxY
1	1696929	1698203	-	tyrS
1	1698332	1698988	-	pdxH
1	1699047	1699376	-	mliC
1	1699474	1700583	-	anmK
1	1700857	1701324	+	slyB
1	1701371	1701805	-	slyA
1	1702006	1702242	+	ydhI
1	1702245	1703102	+	ydhJ
1	1703102	1705114	+	ydhK
1	1705115	1705636	-	sodC
1	1705717	1706613	-	ydhF
1	1706662	1706901	-	ydhL
1	1707004	1707603	+	nemR
1	1707640	1708737	+	nemA
1	1708818	1709225	+	gloA
1	1709328	1709975	+	rnt
1	1710068	1714684	+	lhr
1	1714735	1715082	-	grxD
1	1715416	1716231	+	mepH
1	1716359	1716940	+	sodB
1	1717102	1718271	-	ydhP
1	1718437	1718526	-	ynhF
1	1718825	1719850	+	purR
1	1719847	1720779	-	ydhB
1	1720892	1722103	+	ydhC
1	1722394	1723542	+	cfa
1	1723582	1724223	-	ribC
1	1724438	1725811	+	mdtK
1	1725852	1727108	-	ydhQ
1	1727416	1727492	+	valV
1	1727497	1727573	+	valW
1	1727681	1727986	+	ydhR
1	1728112	1729716	+	ydhS
1	1729728	1730540	-	ydhT
1	1730544	1731329	-	ydhU
1	1731326	1731994	-	ydhX
1	1732058	1732705	-	ydhW
1	1732709	1734811	-	ydhV
1	1734832	1735458	-	ydhY
1	1735913	1736122	-	ydhZ
1	1736679	1738091	+	pykF
1	1738402	1738638	+	lpp
1	1738702	1739706	-	ldtE
1	1739855	1740271	-	sufE
1	1740284	1741504	-	sufS
1	1741501	1742772	-	sufD
1	1742747	1743493	-	sufC
1	1743503	1744990	-	sufB
1	1744999	1745367	-	sufA
1	1745915	1746103	-	ydiH
1	1746203	1746613	-	menI
1	1746610	1749666	-	ydiJ
1	1750055	1751167	+	ydiK
1	1751596	1751952	+	ydiL
1	1752052	1753266	+	ydiM
1	1753493	1754758	+	ydiN
1	1754770	1755636	+	ydiB
1	1755667	1756425	+	aroD
1	1756568	1758163	+	ydiF
1	1758177	1759328	+	ydiO
1	1759371	1760282	-	ydiP
1	1760598	1761362	+	ydiQ
1	1761382	1762320	+	ydiR
1	1762376	1763665	+	ydiS
1	1763662	1763955	+	ydiT
1	1764012	1765658	+	fadK
1	1765715	1768093	-	ppsA
1	1768426	1769259	+	ppsR
1	1769416	1770462	+	aroH
1	1770594	1770785	+	ydiE
1	1770789	1772225	-	ydiU
1	1772288	1773001	-	ydiV
1	1773248	1773712	-	nlpC
1	1773790	1774539	-	btuD
1	1774539	1775090	-	btuE
1	1775153	1776133	-	btuC
1	1776234	1776533	-	ihfA
1	1776538	1778925	-	pheT
1	1778940	1779923	-	pheS
1	1780207	1780251	-	pheM
1	1780374	1780730	-	rplT
1	1780783	1780980	-	rpmI
1	1781077	1781535	-	infC
1	1781623	1783551	-	thrS
1	1784808	1785974	+	U069_c3800
1	1786146	1786253	+	yniD
1	1786306	1787064	-	ydiY
1	1787351	1788280	+	pfkB
1	1788381	1788671	+	ydiZ
1	1788777	1789637	+	yniA
1	1789678	1790214	-	yniB
1	1790361	1791029	+	yniC
1	1791192	1791782	+	ydjM
1	1791915	1793306	+	ydjN
1	1793310	1794113	-	ydjO
1	1794402	1794665	-	cedA
1	1794848	1797109	+	katE
1	1797367	1798116	-	chbG
1	1798129	1799481	-	chbF
1	1799586	1800428	-	chbR
1	1800436	1800786	-	chbA
1	1800837	1802195	-	chbC
1	1802280	1802600	-	chbB
1	1802899	1803237	-	osmE
1	1803439	1804266	+	nadE
1	1804496	1805383	+	cho
1	1805343	1805918	-	ves
1	1806121	1806606	-	spy
1	1806936	1807904	-	astE
1	1807897	1809240	-	astB
1	1809237	1810715	-	astD
1	1810712	1811746	-	astA
1	1811743	1812963	-	astC
1	1813409	1814215	+	xthA
1	1814382	1815092	+	ydjX
1	1815097	1815774	+	ydjY
1	1815789	1816496	+	ydjZ
1	1816496	1817044	+	ynjA
1	1817054	1818220	+	ynjB
1	1818193	1819728	+	ynjC
1	1819728	1820381	+	ynjD
1	1820448	1821755	+	ynjE
1	1821764	1822384	-	ynjF
1	1822471	1822878	+	nudG
1	1822844	1823116	-	ynjH
1	1823352	1824695	+	gdhA
1	1824812	1825852	-	ynjI
1	1825980	1827941	-	topB
1	1827946	1828989	-	selD
1	1829106	1829657	-	ydjA
1	1829818	1831674	+	sppA
1	1831841	1832857	+	ansA
1	1832868	1833509	+	pncA
1	1833602	1834960	-	ydjE
1	1835077	1835835	-	ydjF
1	1835972	1836952	-	ydjG
1	1836962	1837909	-	ydjH
1	1837914	1838750	-	ydjI
1	1838771	1839814	-	ydjJ
1	1839831	1841210	-	ydjK
1	1841237	1842313	-	ydjL
1	1842683	1842955	-	yeaC
1	1842997	1843410	-	msrB
1	1843752	1844747	+	gapA
1	1844831	1845715	+	yeaD
1	1845763	1846617	-	yeaE
1	1846707	1847453	-	mipA
1	1847889	1849823	+	yeaG
1	1849936	1851219	+	yeaH
1	1851366	1852841	+	yeaI
1	1853022	1854512	+	yeaJ
1	1854555	1855058	+	yeaK
1	1855059	1855163	-	yoaI
1	1855333	1855779	+	yeaL
1	1855736	1856557	-	yeaM
1	1856654	1857835	+	yeaN
1	1857890	1858237	+	yeaO
1	1858259	1858513	-	yoaF
1	1858696	1859721	+	yeaP
1	1859754	1859852	+	yoaK
1	1859855	1859929	+	yoaJ
1	1859988	1860236	-	yeaQ
1	1860384	1860566	-	yoaG
1	1860570	1860929	-	yeaR
1	1861102	1861740	-	leuE
1	1861867	1862790	-	dmlR
1	1862893	1863978	+	dmlA
1	1864169	1865614	+	yeaV
1	1865646	1866770	+	yeaW
1	1866826	1867791	+	yeaX
1	1867845	1868972	-	rnd
1	1869042	1870793	-	fadD
1	1870932	1871513	-	yeaY
1	1871553	1872248	-	tsaB
1	1872306	1874216	-	yoaA
1	1874345	1874692	+	yoaB
1	1875114	1875413	+	yoaC
1	1875533	1875712	-	yoaH
1	1875786	1877147	+	pabB
1	1877151	1877729	+	nudL
1	1877913	1879277	+	sdaA
1	1879408	1881006	+	yoaD
1	1883029	1884000	+	manX
1	1884063	1884863	+	manY
1	1884876	1885727	+	manZ
1	1885782	1886240	+	yobD
1	1886669	1887235	+	mntP
1	1887232	1888041	-	rlmA
1	1888207	1888416	-	cspC
1	1888429	1888572	-	yobF
1	1889242	1889529	-	yebO
1	1889604	1889747	-	mgrB
1	1889906	1890145	+	yobH
1	1890289	1891080	-	kdgR
1	1891257	1892630	+	yebQ
1	1892676	1893557	-	htpX
1	1893749	1895797	-	prc
1	1895817	1896515	-	proQ
1	1896612	1897163	-	msrC
1	1897239	1898522	+	yebS
1	1898491	1901124	+	yebT
1	1901198	1902643	+	rsmF
1	1902761	1902997	+	yebV
1	1903294	1903950	-	pphA
1	1904346	1904687	-	yebY
1	1904700	1905572	-	yebZ
1	1905576	1905950	-	yobA
1	1906089	1906319	+	holE
1	1906421	1907077	+	yobB
1	1907101	1907763	+	exoX
1	1907760	1909820	-	ptrB
1	1910029	1910688	-	yebE
1	1911015	1911371	-	yebF
1	1911438	1911728	-	yebG
1	1911862	1913040	+	purT
1	1913096	1913737	-	eda
1	1913774	1915585	-	edd
1	1915820	1917295	-	zwf
1	1917633	1918502	+	yebK
1	1918630	1920072	+	pykA
1	1920203	1921174	-	lpxM
1	1921294	1922616	-	mepM
1	1922632	1923618	-	znuA
1	1923643	1924398	+	znuC
1	1924395	1925180	+	znuB
1	1925327	1926337	-	ruvB
1	1926346	1926957	-	ruvA
1	1927096	1927161	-	yobI
1	1927232	1927834	+	yebB
1	1927836	1928357	-	ruvC
1	1928392	1929132	-	yebC
1	1929161	1929613	-	nudB
1	1929731	1931503	-	aspS
1	1931813	1932379	+	yecD
1	1932376	1933194	+	yecE
1	1933247	1933642	+	yecN
1	1933683	1934426	+	cmoA
1	1934423	1935394	+	cmoB
1	1935559	1937988	-	torZ
1	1938013	1939113	-	torY
1	1939501	1940247	-	cutC
1	1940261	1940827	-	yecM
1	1941043	1942776	+	argS
1	1942953	1943441	+	yecT
1	1943561	1943953	-	flhE
1	1943953	1946031	-	flhA
1	1946024	1947172	-	flhB
1	1947374	1948018	-	cheZ
1	1948029	1948418	-	cheY
1	1948433	1949482	-	cheB
1	1949485	1950345	-	cheR
1	1950364	1951965	-	tap
1	1952011	1953672	-	tar
1	1953817	1954320	-	cheW
1	1954341	1956305	-	cheA
1	1956310	1957236	-	motB
1	1957233	1958120	-	motA
1	1958247	1958825	-	flhC
1	1958828	1959178	-	flhD
1	1959958	1960386	+	uspC
1	1960393	1961817	-	otsA
1	1961792	1962592	-	otsB
1	1962759	1963745	-	araH
1	1963760	1965274	-	araG
1	1965344	1966333	-	araF
1	1967130	1967633	+	ftnB
1	1967712	1967963	-	yecJ
1	1968078	1968164	-	azuC
1	1968427	1968750	+	yecR
1	1968921	1969418	+	ftnA
1	1969456	1969695	-	yecH
1	1969886	1971097	+	tyrP
1	1971159	1971824	-	yecA
1	1972020	1972106	-	leuZ
1	1972119	1972192	-	cysT
1	1972247	1972322	-	glyW
1	1972474	1973022	-	pgsA
1	1973079	1974911	-	uvrC
1	1974908	1975564	-	uvrY
1	1976023	1976247	+	yecF
1	1976315	1977037	-	sdiA
1	1977267	1978019	-	yecC
1	1978016	1978684	-	yecS
1	1978699	1979685	-	dcyD
1	1979790	1980647	-	fliY
1	1980678	1981229	-	fliZ
1	1981275	1981994	-	fliA
1	1982315	1983811	-	fliC
1	1984077	1985483	+	fliD
1	1985508	1985918	+	fliS
1	1985918	1986283	+	fliT
1	1986361	1987848	+	amyA
1	1987882	1988295	-	yedD
1	1988482	1989687	+	yedE
1	1989684	1989917	+	yedF
1	1990026	1990694	+	yedK
1	1990805	1991284	+	yedL
1	1992206	1992556	-	yedM
1	1992905	1993219	-	fliE
1	1993434	1995092	+	fliF
1	1995085	1996080	+	fliG
1	1996073	1996759	+	fliH
1	1996759	1998132	+	fliI
1	1998151	1998594	+	fliJ
